34985
ENSMODG00000016695	ENSMODG00000016695	protein_coding
ENSMODG00000034911	ENSMODG00000034911	lncRNA
ENSMODG00000027996	ENSMODG00000027996	lncRNA
ENSMODG00000032478	ENSMODG00000032478	lncRNA
ENSMODG00000048036	mdo-mir-12296	miRNA
ENSMODG00000013483	GLRX3	protein_coding
ENSMODG00000043448	ENSMODG00000043448	lncRNA
ENSMODG00000036380	ENSMODG00000036380	lncRNA
ENSMODG00000046419	ENSMODG00000046419	lncRNA
ENSMODG00000051545	ENSMODG00000051545	lncRNA
ENSMODG00000043160	ENSMODG00000043160	lncRNA
ENSMODG00000042832	ENSMODG00000042832	lncRNA
ENSMODG00000040443	ENSMODG00000040443	lncRNA
ENSMODG00000042190	ENSMODG00000042190	lncRNA
ENSMODG00000045215	ENSMODG00000045215	lncRNA
ENSMODG00000039404	ENSMODG00000039404	lncRNA
ENSMODG00000040785	ENSMODG00000040785	lncRNA
ENSMODG00000013493	TCERG1L	protein_coding
ENSMODG00000039737	ENSMODG00000039737	lncRNA
ENSMODG00000045921	ENSMODG00000045921	lncRNA
ENSMODG00000039754	ENSMODG00000039754	lncRNA
ENSMODG00000028832	ENSMODG00000028832	lncRNA
ENSMODG00000042771	ENSMODG00000042771	lncRNA
ENSMODG00000045876	ENSMODG00000045876	protein_coding
ENSMODG00000037581	ENSMODG00000037581	lncRNA
ENSMODG00000013518	JAKMIP3	protein_coding
ENSMODG00000050227	ENSMODG00000050227	lncRNA
ENSMODG00000043721	ENSMODG00000043721	protein_coding
ENSMODG00000013531	STK32C	protein_coding
ENSMODG00000041358	ENSMODG00000041358	protein_coding
ENSMODG00000006903	ENSMODG00000006903	protein_coding
ENSMODG00000036674	ENSMODG00000036674	protein_coding
ENSMODG00000039338	ENSMODG00000039338	lncRNA
ENSMODG00000029056	NPS	protein_coding
ENSMODG00000006906	ENSMODG00000006906	protein_coding
ENSMODG00000045439	ENSMODG00000045439	lncRNA
ENSMODG00000046900	ENSMODG00000046900	lncRNA
ENSMODG00000037015	mdo-mir-7256	miRNA
ENSMODG00000033589	ENSMODG00000033589	lncRNA
ENSMODG00000006911	CLRN3	protein_coding
ENSMODG00000042165	ENSMODG00000042165	lncRNA
ENSMODG00000046506	ENSMODG00000046506	lncRNA
ENSMODG00000043197	ENSMODG00000043197	protein_coding
ENSMODG00000006941	PTPRE	protein_coding
ENSMODG00000006953	MKI67	protein_coding
ENSMODG00000041412	ENSMODG00000041412	lncRNA
ENSMODG00000049631	ENSMODG00000049631	lncRNA
ENSMODG00000045933	ENSMODG00000045933	lncRNA
ENSMODG00000038940	ENSMODG00000038940	lncRNA
ENSMODG00000048447	ENSMODG00000048447	lncRNA
ENSMODG00000033935	ENSMODG00000033935	lncRNA
ENSMODG00000049521	ENSMODG00000049521	lncRNA
ENSMODG00000036763	ENSMODG00000036763	lncRNA
ENSMODG00000029132	ENSMODG00000029132	lncRNA
ENSMODG00000049213	ENSMODG00000049213	lncRNA
ENSMODG00000040390	ENSMODG00000040390	lncRNA
ENSMODG00000040903	ENSMODG00000040903	lncRNA
ENSMODG00000048944	ENSMODG00000048944	lncRNA
ENSMODG00000028911	ENSMODG00000028911	lncRNA
ENSMODG00000046880	ENSMODG00000046880	lncRNA
ENSMODG00000029396	ENSMODG00000029396	lncRNA
ENSMODG00000042248	ENSMODG00000042248	lncRNA
ENSMODG00000012237	ENSMODG00000012237	protein_coding
ENSMODG00000012228	ENSMODG00000012228	pseudogene
ENSMODG00000045261	ENSMODG00000045261	lncRNA
ENSMODG00000012225	ENSMODG00000012225	protein_coding
ENSMODG00000036820	ENSMODG00000036820	lncRNA
ENSMODG00000045435	ENSMODG00000045435	lncRNA
ENSMODG00000030523	ENSMODG00000030523	lncRNA
ENSMODG00000031841	ENSMODG00000031841	lncRNA
ENSMODG00000036607	ENSMODG00000036607	lncRNA
ENSMODG00000012220	ENSMODG00000012220	protein_coding
ENSMODG00000040146	MACROH2A2	protein_coding
ENSMODG00000012201	AIFM2	protein_coding
ENSMODG00000012195	TYSND1	protein_coding
ENSMODG00000012190	SAR1A	protein_coding
ENSMODG00000012176	ENSMODG00000012176	protein_coding
ENSMODG00000046812	NPFFR1	protein_coding
ENSMODG00000012169	LRRC20	protein_coding
ENSMODG00000048754	U6	snRNA
ENSMODG00000012163	ENSMODG00000012163	protein_coding
ENSMODG00000038353	ENSMODG00000038353	lncRNA
ENSMODG00000046531	ENSMODG00000046531	lncRNA
ENSMODG00000041296	ENSMODG00000041296	lncRNA
ENSMODG00000046151	ENSMODG00000046151	lncRNA
ENSMODG00000012161	EIF4EBP2	protein_coding
ENSMODG00000017248	SIRT1	protein_coding
ENSMODG00000047784	ENSMODG00000047784	lncRNA
ENSMODG00000016421	DKK1	protein_coding
ENSMODG00000012158	NODAL	protein_coding
ENSMODG00000017247	DNAJC12	protein_coding
ENSMODG00000041159	PRF1	protein_coding
ENSMODG00000009342	ENSMODG00000009342	protein_coding
ENSMODG00000030578	ENSMODG00000030578	lncRNA
ENSMODG00000049527	U6	snRNA
ENSMODG00000039442	ENSMODG00000039442	lncRNA
ENSMODG00000037290	ENSMODG00000037290	lncRNA
ENSMODG00000034925	ENSMODG00000034925	lncRNA
ENSMODG00000046885	ENSMODG00000046885	lncRNA
ENSMODG00000049372	ENSMODG00000049372	lncRNA
ENSMODG00000044699	LBX1	protein_coding
ENSMODG00000042734	ENSMODG00000042734	lncRNA
ENSMODG00000036585	ENSMODG00000036585	lncRNA
ENSMODG00000028875	ENSMODG00000028875	protein_coding
ENSMODG00000025399	LINGO1	protein_coding
ENSMODG00000011900	TLX1	protein_coding
ENSMODG00000046241	ENSMODG00000046241	lncRNA
ENSMODG00000031862	ENSMODG00000031862	lncRNA
ENSMODG00000036362	ENSMODG00000036362	lncRNA
ENSMODG00000048851	ENSMODG00000048851	lncRNA
ENSMODG00000044527	ENSMODG00000044527	lncRNA
ENSMODG00000009365	CACUL1	protein_coding
